"UserName","Name","DNSHostName","Enabled","IPv4Address","Operating System","Logon Age (days)","Password Age (days)","Dormant (> 90 days)","Password Age (> 30 days)","Delegation Type","Delegation Protocol","Delegation Services","Primary Group ID","SID","SIDHistory","Description","ms-ds-CreatorSid","Last Logon Date","Password LastSet","UserAccountControl","whenCreated","whenChanged","Distinguished Name"
"DC1$","DC1","DC1.LAB.local","True",,"Windows Server 2016 Essentials 10.0 (14393)","5","22","False","False",,,,"516","S-1-5-21-3291825774-2351178969-2332353497-1002","","",,"8/27/2020 11:54:03 AM","8/10/2020 8:37:40 PM","532480","8/10/2020 8:37:14 PM","8/27/2020 11:54:03 AM","CN=DC1,OU=Domain Controllers,DC=LAB,DC=local"
"WIN10$","WIN10","win10.LAB.local","True",,"Windows 10 Enterprise Evaluation 10.0 (17763)","5","22","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-1117","","",,"8/27/2020 11:54:04 AM","8/10/2020 9:17:45 PM","4096","8/10/2020 9:17:45 PM","8/27/2020 4:45:31 PM","CN=WIN10,OU=workstation_test_OU,DC=LAB,DC=local"
"AWSWWKS1000000$","AWSWWKS1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4144","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:34 PM","4096","8/27/2020 7:31:34 PM","8/27/2020 7:31:34 PM","CN=AWSWWKS1000000,OU=SEC,OU=Tier 1,DC=LAB,DC=local"
"HREWAPPS1000000$","HREWAPPS1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4132","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:23 PM","4096","8/27/2020 7:31:23 PM","8/27/2020 7:31:23 PM","CN=HREWAPPS1000000,OU=Test,OU=FSR,OU=Tier 2,DC=LAB,DC=local"
"AWSWAPPS1000001$","AWSWAPPS1000001",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4158","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:48 PM","4096","8/27/2020 7:31:48 PM","8/27/2020 7:31:48 PM","CN=AWSWAPPS1000001,OU=Test,OU=HRE,OU=Tier 2,DC=LAB,DC=local"
"FSRWAPPS1000000$","FSRWAPPS1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4133","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:23 PM","4096","8/27/2020 7:31:23 PM","8/27/2020 7:31:24 PM","CN=FSRWAPPS1000000,OU=Devices,OU=HRE,OU=Stage,DC=LAB,DC=local"
"ESMWCTRX1000000$","ESMWCTRX1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4145","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:36 PM","4096","8/27/2020 7:31:36 PM","8/27/2020 7:31:36 PM","CN=ESMWCTRX1000000,OU=Devices,OU=BDE,OU=Tier 2,DC=LAB,DC=local"
"ESMWWEBS1000000$","ESMWWEBS1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4146","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:37 PM","4096","8/27/2020 7:31:37 PM","8/27/2020 7:31:37 PM","CN=ESMWWEBS1000000,OU=Test,OU=ITS,OU=Stage,DC=LAB,DC=local"
"ITSWVIR1000001$","ITSWVIR1000001",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4172","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:03 PM","4096","8/27/2020 7:32:03 PM","8/27/2020 7:32:03 PM","CN=ITSWVIR1000001,OU=Groups,OU=ITS,OU=Tier 2,DC=LAB,DC=local"
"ESMWLPT1000000$","ESMWLPT1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4134","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:24 PM","4096","8/27/2020 7:31:24 PM","8/27/2020 7:31:24 PM","CN=ESMWLPT1000000,OU=FSR,OU=Stage,DC=LAB,DC=local"
"AZRWLPT1000001$","AZRWLPT1000001",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4186","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:18 PM","4096","8/27/2020 7:32:18 PM","8/27/2020 7:32:18 PM","CN=AZRWLPT1000001,OU=HRE,OU=Tier 1,DC=LAB,DC=local"
"FSRWLPT1000000$","FSRWLPT1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4147","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:38 PM","4096","8/27/2020 7:31:38 PM","8/27/2020 7:31:38 PM","CN=FSRWLPT1000000,OU=ServiceAccounts,OU=ESM,OU=Stage,DC=LAB,DC=local"
"HREWDBAS1000000$","HREWDBAS1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4173","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:04 PM","4096","8/27/2020 7:32:04 PM","8/27/2020 7:32:04 PM","CN=HREWDBAS1000000,OU=OGC,OU=People,DC=LAB,DC=local"
"SECWVIR1000000$","SECWVIR1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4135","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:26 PM","4096","8/27/2020 7:31:26 PM","8/27/2020 7:31:26 PM","CN=SECWVIR1000000,OU=OGC,OU=Tier 1,DC=LAB,DC=local"
"ITSWVIR1000000$","ITSWVIR1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4148","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:39 PM","4096","8/27/2020 7:31:39 PM","8/27/2020 7:31:39 PM","CN=ITSWVIR1000000,OU=Groups,OU=ESM,OU=Tier 2,DC=LAB,DC=local"
"OGCWSECS1000000$","OGCWSECS1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4187","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:19 PM","4096","8/27/2020 7:32:19 PM","8/27/2020 7:32:19 PM","CN=OGCWSECS1000000,OU=Groups,OU=BDE,OU=Tier 1,DC=LAB,DC=local"
