"ObjectClass","Name","whenCreated","whenChanged","DistinguishedName"
"attributeSchema","Help-File-Name","1/15/2016 11:22:43 AM","1/15/2016 11:22:43 AM","CN=Help-File-Name,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","Hide-From-AB","1/15/2016 11:22:43 AM","1/15/2016 11:22:43 AM","CN=Hide-From-AB,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-DS-cloudExtensionAttribute1","1/15/2016 11:23:13 AM","1/15/2016 11:23:13 AM","CN=ms-DS-cloudExtensionAttribute1,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"classSchema","account","1/15/2016 11:23:15 AM","1/15/2016 11:23:15 AM","CN=account,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-DS-Quota-Trustee","1/15/2016 11:22:49 AM","1/15/2016 11:22:49 AM","CN=ms-DS-Quota-Trustee,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","Account-Expires","1/15/2016 11:22:37 AM","1/15/2016 11:22:37 AM","CN=Account-Expires,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-COM-ObjectId","1/15/2016 11:22:45 AM","1/15/2016 11:22:45 AM","CN=ms-COM-ObjectId,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","MS-SQL-Clustered","1/15/2016 11:22:54 AM","1/15/2016 11:22:54 AM","CN=MS-SQL-Clustered,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"classSchema","ms-COM-Partition","1/15/2016 11:23:17 AM","1/15/2016 11:23:17 AM","CN=ms-COM-Partition,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","MS-SQL-ConnectionURL","1/15/2016 11:22:54 AM","1/15/2016 11:22:54 AM","CN=MS-SQL-ConnectionURL,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-COM-PartitionLink","1/15/2016 11:22:45 AM","1/15/2016 11:22:45 AM","CN=ms-COM-PartitionLink,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","MS-SQL-Contact","1/15/2016 11:22:54 AM","1/15/2016 11:22:54 AM","CN=MS-SQL-Contact,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"classSchema","ms-COM-PartitionSet","1/15/2016 11:23:17 AM","1/15/2016 11:23:17 AM","CN=ms-COM-PartitionSet,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","MSMQ-Journal-Quota","1/15/2016 11:22:56 AM","1/15/2016 11:22:56 AM","CN=MSMQ-Journal-Quota,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-COM-PartitionSetLink","1/15/2016 11:22:45 AM","1/15/2016 11:22:45 AM","CN=ms-COM-PartitionSetLink,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","MS-SQL-CreationDate","1/15/2016 11:22:54 AM","1/15/2016 11:22:54 AM","CN=MS-SQL-CreationDate,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","MSMQ-Label","1/15/2016 11:22:56 AM","1/15/2016 11:22:56 AM","CN=MSMQ-Label,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-COM-UserLink","1/15/2016 11:22:45 AM","1/15/2016 11:22:45 AM","CN=ms-COM-UserLink,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","Parent-CA","1/15/2016 11:23:00 AM","1/15/2016 11:23:00 AM","CN=Parent-CA,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-DS-Quota-Used","1/15/2016 11:22:49 AM","1/15/2016 11:22:49 AM","CN=ms-DS-Quota-Used,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","Parent-CA-Certificate-Chain","1/15/2016 11:23:00 AM","1/15/2016 11:23:00 AM","CN=Parent-CA-Certificate-Chain,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","MS-SQL-Database","1/15/2016 11:22:54 AM","1/15/2016 11:22:54 AM","CN=MS-SQL-Database,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-DS-Registered-Owner","1/15/2016 11:23:13 AM","1/15/2016 11:23:13 AM","CN=ms-DS-Registered-Owner,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","Parent-GUID","1/15/2016 11:23:00 AM","1/15/2016 11:23:00 AM","CN=Parent-GUID,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","MS-SQL-Description","1/15/2016 11:22:54 AM","1/15/2016 11:22:54 AM","CN=MS-SQL-Description,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-DS-Registered-Users","1/15/2016 11:23:13 AM","1/15/2016 11:23:13 AM","CN=ms-DS-Registered-Users,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","Partial-Attribute-Deletion-List","1/15/2016 11:23:00 AM","1/15/2016 11:23:00 AM","CN=Partial-Attribute-Deletion-List,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","MS-SQL-GPSHeight","1/15/2016 11:22:54 AM","1/15/2016 11:22:54 AM","CN=MS-SQL-GPSHeight,CN=Schema,CN=Configuration,DC=LAB,DC=local"
